Rank,State,Resignation Rate (Latest Month),Resignation Rate (Last 12 Months)
1,Alaska,3.5,3.98
2,South Carolina,3.8,3.28
3,Georgia,3.6,3.66
4,Delaware,3.8,3.13
5,Kentucky,3.5,3.43
6,Mississippi,3.5,3.39
7,West Virginia,3.5,3.26
8,Arizona,3.5,3.21
9,Tennessee,3.5,3.13
10,Hawaii,3.2,3.41
11,Montana,3.2,3.33
12,Nevada,3,3.74
13,Oklahoma,3.3,3.07
14,Alabama,3.3,3.06
15,Indiana,3.2,3.2
16,Louisiana,3.1,3.25
17,Michigan,3.1,3.08
18,Wyoming,3,3.28
19,Texas,3.1,2.98
20,Idaho,2.9,3.28
21,North Carolina,2.9,3.24
22,Colorado,2.9,3.19
23,Utah,3,2.9
24,Arkansas,2.9,3.1
25,North Dakota,2.9,3.09
26,Virginia,3,2.78
27,Nebraska,3,2.73
28,Florida,2.7,3.01
29,New Mexico,2.7,2.92
30,Maryland,2.9,2.42
31,Oregon,2.6,3.02
32,Missouri,2.6,2.92
33,Ohio,2.7,2.68
34,South Dakota,2.7,2.63
35,New Hampshire,2.5,2.76
36,Vermont,2.5,2.73
37,Maine,2.5,2.68
38,Rhode Island,2.5,2.62
39,Iowa,2.5,2.61
40,Kansas,2.5,2.6
41,Illinois,2.4,2.79
42,Wisconsin,2.4,2.73
43,California,2.5,2.42
44,New Jersey,2.5,2.4
45,Washington,2.5,2.4
46,District of Columbia,2.6,1.98
47,Pennsylvania,2.3,2.22
48,Massachusetts,2.2,2.27
49,Connecticut,2.2,2.17
50,Minnesota,2.1,2.37
51,New York,1.8,1.87
